Iraw[0;1] R It 
0.90088 0.80763 30.75298
0.90000 0.80792 31.24961
0.89928 0.80821 31.75013
0.89873 0.80850 32.24243
0.89837 0.80881 32.75162
0.89803 0.80912 33.25303
0.89711 0.80943 33.74974
0.89611 0.80974 34.25792
0.89550 0.81005 34.73980
0.89476 0.81040 35.26885
0.89413 0.81071 35.75023
0.89356 0.81104 36.24060
0.89281 0.81138 36.75689
0.89212 0.81172 37.25577
0.89119 0.81206 37.75100
0.89028 0.81241 38.24873
0.88975 0.81276 38.75548
0.88904 0.81313 39.25982
0.88843 0.81348 39.74830
0.88752 0.81384 40.24091
0.88653 0.81422 40.75889
0.88617 0.81458 41.23082
0.88500 0.81497 41.75865
0.88441 0.81534 42.23717
0.88369 0.81574 42.75104
0.88260 0.81613 43.25738
0.88155 0.81653 43.75574
0.88072 0.81691 44.23360
0.88030 0.81731 44.73785
0.87948 0.81773 45.25174
0.87897 0.81815 45.76906
0.87782 0.81855 46.24962
0.87700 0.81896 46.74933
0.87591 0.81939 47.24918
0.87481 0.81981 47.74628
0.87383 0.82024 48.25745
0.87316 0.82068 48.76365
0.87202 0.82109 49.23830
0.87103 0.82154 49.76003
0.86977 0.82198 50.25457
0.86960 0.82240 50.71970
0.86780 0.82287 51.25126
0.86711 0.82333 51.75457
0.86584 0.82379 52.25839
0.86463 0.82425 52.75619
0.86385 0.82470 53.24192
0.86338 0.82518 53.75814
0.86207 0.82565 54.25862
0.86083 0.82611 54.74986
0.85978 0.82657 55.23953
0.85853 0.82705 55.74260
0.85743 0.82754 56.24998
0.85595 0.82803 56.75860
0.85443 0.82852 57.26100
0.85329 0.82901 57.76104
0.85184 0.82948 58.24308
0.85010 0.83000 58.77032
0.84910 0.83048 59.25279
0.84781 0.83097 59.74295
0.84624 0.83148 60.24790
0.84513 0.83198 60.73783
0.84332 0.83249 61.24523
0.84137 0.83303 61.76772
0.84013 0.83353 62.24709
0.83862 0.83404 62.74630
0.83683 0.83456 63.24222
0.83517 0.83510 63.76636
0.83305 0.83562 64.25163
0.83222 0.83614 64.75068
0.83057 0.83668 65.24996
0.82896 0.83721 65.75140
0.82682 0.83776 66.26480
0.82565 0.83828 66.74246
0.82408 0.83884 67.25950
0.82173 0.83938 67.75718
0.82115 0.83992 68.24910
0.81920 0.84048 68.75819
0.81708 0.84102 69.24983
0.81591 0.84157 69.74620
0.81523 0.84213 70.25276
0.81173 0.84269 70.75218
0.81038 0.84324 71.25271
0.80878 0.84380 71.75132
0.80818 0.84436 72.24855
0.80557 0.84492 72.74627
0.80285 0.84551 73.26676
0.80097 0.84606 73.74708
0.79935 0.84664 74.26347
0.79753 0.84721 74.75941
0.79517 0.84777 75.24990
0.79325 0.84834 75.75204
0.79149 0.84890 76.23693
0.79020 0.84945 76.71106
0.78792 0.85007 77.24230
0.78625 0.85067 77.76429
0.78307 0.85126 78.26520
0.78421 0.85183 78.75377
0.93262 1.01088 0.23656
0.93481 1.01089 0.63458
0.93221 1.01112 4.72928
0.93066 1.01118 5.31677
0.93066 1.01120 5.63722
0.93042 1.01130 6.36581
0.93178 1.01136 6.84169
0.93335 1.01142 7.24172
0.93127 1.01149 7.73297
0.93103 1.01158 8.25921
0.93088 1.01167 8.75609
0.93104 1.01176 9.24329
0.93069 1.01185 9.73900
0.93181 1.01198 10.28763
0.93135 1.01208 10.78056
0.93176 1.01219 11.25685
0.93156 1.01231 11.77713
0.93141 1.01243 12.28024
0.93156 1.01256 12.76656
0.93144 1.01269 13.24821
0.93153 1.01283 13.75037
0.93112 1.01297 14.26285
0.93107 1.01312 14.77230
0.93056 1.01326 15.26432
0.93024 1.01342 15.75833
0.93009 1.01357 16.24950
0.92965 1.01374 16.75560
0.92914 1.01390 17.25565
0.92861 1.01407 17.75565
0.92810 1.01425 18.25862
0.92752 1.01443 18.75982
0.92666 1.01460 19.25512
0.92603 1.01479 19.75788
0.92558 1.01498 20.24701
0.92532 1.01518 20.75010
0.92504 1.01538 21.24683
0.92459 1.01559 21.75394
0.92388 1.01581 22.25916
0.92352 1.01602 22.75295
0.92266 1.01623 23.24467
0.92247 1.01647 23.74871
0.92170 1.01669 24.24921
0.92125 1.01693 24.75167
0.92044 1.01717 25.25411
0.91964 1.01741 25.75064
0.91908 1.01766 26.25073
0.91865 1.01791 26.74914
0.91815 1.01818 27.25464
0.91770 1.01843 27.74520
0.91730 1.01871 28.25455
0.91693 1.01898 28.74135
0.91644 1.01927 29.25460
0.91573 1.01954 29.74843
0.91490 1.01982 30.25455
0.91426 1.02011 30.75589
0.91381 1.02041 31.24668
0.91336 1.02071 31.74670
0.91288 1.02102 32.25073
0.91200 1.02132 32.75503
0.91146 1.02163 33.25709
0.91121 1.02196 33.74614
0.91068 1.02228 34.25333
0.91013 1.02261 34.75836
0.90968 1.02294 35.24679
0.90890 1.02327 35.75322
0.90841 1.02361 36.25427
0.90803 1.02394 36.73731
0.90744 1.02431 37.25701
0.90683 1.02465 37.75122
0.90612 1.02501 38.25602
0.90549 1.02538 38.76121
0.90470 1.02572 39.24937
0.90419 1.02610 39.75067
0.90351 1.02647 40.25072
0.90285 1.02685 40.75434
0.90220 1.02723 41.24883
0.90147 1.02762 41.75751
0.90102 1.02799 42.24445
0.89994 1.02838 42.75077
0.89930 1.02878 43.25829
0.89833 1.02917 43.75457
0.89765 1.02958 44.25419
0.89679 1.02998 44.74831
0.89597 1.03040 45.25511
0.89491 1.03079 45.74467
0.89402 1.03121 46.25082
0.89320 1.03164 46.75667
0.89233 1.03207 47.25489
0.89156 1.03250 47.74921
0.89073 1.03293 48.24976
