A B C D E F G H I J K L M 
7.12704 -0.44673 0.00765 -2.57872 0.25834 -0.00539 0.46679 -0.08272 0.00211 31.07985 31.59054 0.15000 1
7.18689 -0.45832 0.00795 -2.63304 0.26385 -0.00550 0.59829 -0.07958 0.00187 31.59054 32.09385 0.15000 1
7.18810 -0.44122 0.00740 -2.56352 0.30482 -0.00680 0.83201 -0.15705 0.00403 32.09385 32.60397 0.15000 1
7.59812 -0.44359 0.00701 -2.56059 0.24159 -0.00467 0.67635 -0.09362 0.00211 32.60397 33.10312 0.15000 1
7.59721 -0.50067 0.00875 -2.57077 0.35549 -0.00814 0.45413 -0.14079 0.00376 33.10312 33.59602 0.15000 1
7.60415 -0.46509 0.00769 -2.47833 0.29236 -0.00635 0.67193 -0.12278 0.00304 33.59602 34.10955 0.15000 1
7.59938 -0.45290 0.00729 -2.44717 0.26615 -0.00548 0.47742 -0.10239 0.00253 34.10955 34.60740 0.15000 1
7.65413 -0.44544 0.00702 -2.40605 0.30138 -0.00650 0.40871 -0.13035 0.00337 34.60740 35.11655 0.15000 1
7.65413 -0.46459 0.00755 -2.31893 0.32017 -0.00708 0.22422 -0.12816 0.00344 35.11655 35.61940 0.15000 1
7.67783 -0.46680 0.00754 -2.28521 0.32537 -0.00712 0.25109 -0.12681 0.00330 35.61940 36.10843 0.15000 1
7.74902 -0.46995 0.00755 -2.31597 0.33834 -0.00739 0.28240 -0.13980 0.00359 36.10843 36.60626 0.15000 1
7.81614 -0.47250 0.00753 -2.28420 0.29595 -0.00615 0.41369 -0.10958 0.00261 36.60626 37.12713 0.15000 1
7.89193 -0.42913 0.00630 -2.32785 0.30463 -0.00633 0.39007 -0.14941 0.00368 37.12713 37.62144 0.15000 1
7.89193 -0.47486 0.00748 -2.30007 0.31533 -0.00655 0.55560 -0.12815 0.00295 37.62144 38.12613 0.15000 1
7.89682 -0.44621 0.00671 -2.28142 0.33805 -0.00712 0.49894 -0.16527 0.00393 38.12613 38.62013 0.15000 1
7.89788 -0.43412 0.00637 -2.29829 0.33579 -0.00698 0.37180 -0.17127 0.00413 38.62013 39.13528 0.15000 1
8.33309 -0.48171 0.00726 -2.25720 0.34221 -0.00706 0.33932 -0.14974 0.00354 39.13528 39.62714 0.15000 1
8.32754 -0.47399 0.00702 -2.28239 0.33372 -0.00674 0.54645 -0.15590 0.00350 39.62714 40.12424 0.15000 1
