I R cos(alpha)
0.74370 12.57128 0.45983
0.72456 12.57670 0.38164
0.70270 12.58227 0.30134
0.67134 12.58822 0.21540
0.81519 13.02268 0.99990
0.81462 13.02340 0.98969
0.81296 13.02441 0.97505
0.80996 13.02597 0.95245
0.80705 13.02818 0.92059
0.80194 13.03057 0.88600
0.79621 13.03357 0.84264
0.78951 13.03691 0.79435
0.78082 13.04069 0.73973
0.77114 13.04498 0.67782
0.76071 13.04967 0.61002
0.74969 13.05453 0.53998
0.73339 13.05997 0.46138
0.71209 13.06549 0.38179
0.69656 13.07051 0.30935
0.79810 13.51639 0.99935
0.80435 13.51709 0.98916
0.80405 13.51808 0.97483
0.80010 13.51961 0.95281
0.79713 13.52158 0.92424
0.79203 13.52416 0.88694
0.78694 13.52723 0.84251
0.77955 13.53072 0.79210
0.77181 13.53449 0.73761
0.76345 13.53875 0.67617
0.75367 13.54345 0.60825
0.74128 13.54832 0.53803
0.72573 13.55381 0.45876
0.70766 13.55886 0.38606
0.68659 13.56448 0.30501
0.65189 13.56940 0.23414
0.79419 14.02542 1.00000
0.79777 14.02636 0.98642
0.79697 14.02714 0.97514
0.79293 14.02869 0.95265
0.78919 14.03080 0.92216
0.78455 14.03323 0.88716
0.77979 14.03624 0.84347
0.77373 14.03972 0.79328
0.76683 14.04362 0.73697
0.75633 14.04791 0.67508
0.74513 14.05257 0.60787
0.73335 14.05732 0.53910
0.72030 14.06232 0.46713
0.69962 14.06810 0.38368
0.67771 14.07328 0.30926
0.64317 14.07996 0.21337
0.80151 14.53289 0.99990
0.79907 14.53366 0.98897
0.79725 14.53465 0.97461
0.79480 14.53602 0.95485
0.79007 14.53828 0.92221
0.78422 14.54067 0.88755
0.77963 14.54383 0.84206
0.77243 14.54726 0.79241
0.76414 14.55117 0.73599
0.75540 14.55550 0.67348
0.74420 14.56040 0.60277
0.73243 14.56523 0.53304
0.72015 14.56994 0.46507
0.70068 14.57564 0.38291
0.68365 14.58062 0.31104
0.64429 14.58667 0.22389
0.80444 15.01681 0.99896
0.80032 15.01755 0.98831
0.79823 15.01863 0.97277
0.79382 15.01986 0.95493
0.79007 15.02214 0.92194
0.78526 15.02464 0.88575
0.78046 15.02756 0.84365
0.77363 15.03098 0.79424
0.76560 15.03503 0.73579
0.75588 15.03927 0.67455
0.74549 15.04392 0.60757
0.73369 15.04869 0.53863
0.71932 15.05400 0.46205
0.70064 15.05953 0.38233
0.67735 15.06507 0.30256
0.65301 15.06975 0.23500
0.79663 15.53734 0.99990
0.80119 15.53816 0.98812
0.79934 15.53906 0.97522
0.79750 15.54079 0.95021
0.79377 15.54260 0.92402
0.78812 15.54513 0.88748
0.78301 15.54821 0.84296
0.77617 15.55174 0.79205
0.76796 15.55555 0.73703
0.75791 15.55980 0.67559
0.74736 15.56458 0.60682
0.73720 15.56912 0.54116
0.72243 15.57444 0.46454
0.70422 15.57994 0.38530
0.68960 15.58548 0.30513
0.64839 15.59099 0.22571
0.80298 16.03048 0.99996
0.80054 16.03105 0.99167
0.79977 16.03229 0.97385
0.79674 16.03375 0.95269
0.79305 16.03567 0.92501
0.78918 16.03818 0.88871
0.78279 16.04127 0.84413
0.77686 16.04486 0.79228
0.76846 16.04867 0.73728
0.75746 16.05302 0.67438
0.74644 16.05780 0.60556
0.73499 16.06291 0.53172
0.72201 16.06752 0.46523
0.70697 16.07299 0.38645
0.67909 16.07878 0.30317
0.63672 16.08390 0.22938
0.80347 16.52313 1.00000
0.80396 16.52416 0.98518
