
# Surface 0 of 1 surfaces

# Curve title: "'-'"

# IsoCurve 0, 50 points
# x y z type
 35.3657  0.549887  0.747499 i
 35.3657  0.566557  0.749608 i
 35.3657  0.583228  0.751729 i
 35.3657  0.599899  0.753863 i
 35.3657  0.61657  0.75601 i
 35.3657  0.633241  0.758171 i
 35.3657  0.649912  0.760347 i
 35.3657  0.666582  0.762539 i
 35.3657  0.683253  0.764745 i
 35.3657  0.699924  0.766968 i
 35.3657  0.716595  0.769207 i
 35.3657  0.733266  0.771462 i
 35.3657  0.749937  0.773734 i
 35.3657  0.766607  0.776022 i
 35.3657  0.783278  0.778326 i
 35.3657  0.799949  0.780646 i
 35.3657  0.81662  0.782982 i
 35.3657  0.833291  0.785334 i
 35.3657  0.849962  0.787701 i
 35.3657  0.866632  0.790082 i
 35.3657  0.883303  0.792477 i
 35.3657  0.899974  0.794884 i
 35.3657  0.916645  0.797304 i
 35.3657  0.933316  0.799733 i
 35.3657  0.949986  0.802173 i
 35.3657  0.966657  0.804621 i
 35.3657  0.983328  0.807076 i
 35.3657  0.999999  0.809537 i

# IsoCurve 7, 50 points
# x y z type
 34.5668  0.183129  0.703305 i
 34.5668  0.199799  0.705288 i
 34.5668  0.21647  0.707269 i
 34.5668  0.233141  0.709246 i
 34.5668  0.249812  0.711221 i
 34.5668  0.266483  0.713194 i
 34.5668  0.283153  0.715164 i
 34.5668  0.299824  0.717132 i
 34.5668  0.316495  0.719099 i
 34.5668  0.333166  0.721063 i
 34.5668  0.349837  0.723026 i
 34.5668  0.366508  0.724989 i
 34.5668  0.383178  0.726953 i
 34.5668  0.399849  0.728922 i
 34.5668  0.41652  0.730896 i
 34.5668  0.433191  0.732881 i
 34.5668  0.449862  0.734877 i
 34.5668  0.466533  0.736888 i
 34.5668  0.483203  0.738914 i
 34.5668  0.499874  0.740957 i
 34.5668  0.516545  0.743017 i
 34.5668  0.533216  0.745093 i
 34.5668  0.549887  0.747186 i
 34.5668  0.566557  0.749294 i
 34.5668  0.583228  0.751418 i
 34.5668  0.599899  0.753558 i
 34.5668  0.61657  0.755714 i
 34.5668  0.633241  0.757886 i
 34.5668  0.649912  0.760073 i
 34.5668  0.666582  0.762276 i
 34.5668  0.683253  0.764495 i
 34.5668  0.699924  0.76673 i
 34.5668  0.716595  0.76898 i
 34.5668  0.733266  0.771245 i
 34.5668  0.749937  0.773526 i
 34.5668  0.766607  0.775823 i
 34.5668  0.783278  0.778135 i
 34.5668  0.799949  0.780462 i
 34.5668  0.81662  0.782805 i
 34.5668  0.833291  0.785163 i
 34.5668  0.849962  0.787537 i
 34.5668  0.866632  0.789925 i
 34.5668  0.883303  0.792329 i
 34.5668  0.899974  0.794748 i
 34.5668  0.916645  0.797181 i
 34.5668  0.933316  0.799629 i
 34.5668  0.949986  0.802092 i
 34.5668  0.966657  0.804566 i
 34.5668  0.983328  0.80705 i
 34.5668  0.999999  0.809536 i

# IsoCurve 8, 50 points
# x y z type
 33.7678  0.183129  0.701719 i
 33.7678  0.199799  0.703731 i
 33.7678  0.21647  0.705744 i
 33.7678  0.233141  0.707757 i
 33.7678  0.249812  0.70977 i
 33.7678  0.266483  0.711785 i
 33.7678  0.283153  0.713802 i
 33.7678  0.299824  0.715822 i
 33.7678  0.316495  0.717846 i
 33.7678  0.333166  0.719873 i
 33.7678  0.349837  0.721904 i
 33.7678  0.366508  0.723941 i
 33.7678  0.383178  0.725984 i
 33.7678  0.399849  0.728033 i
 33.7678  0.41652  0.730089 i
 33.7678  0.433191  0.732152 i
 33.7678  0.449862  0.734224 i
 33.7678  0.466533  0.736304 i
 33.7678  0.483203  0.738394 i
 33.7678  0.499874  0.740494 i
 33.7678  0.516545  0.742604 i
 33.7678  0.533216  0.744727 i
 33.7678  0.549887  0.746861 i
 33.7678  0.566557  0.749007 i
 33.7678  0.583228  0.751167 i
 33.7678  0.599899  0.75334 i
 33.7678  0.61657  0.755526 i
 33.7678  0.633241  0.757726 i
 33.7678  0.649912  0.75994 i
 33.7678  0.666582  0.762168 i
 33.7678  0.683253  0.764409 i
 33.7678  0.699924  0.766665 i
 33.7678  0.716595  0.768934 i
 33.7678  0.733266  0.771216 i
 33.7678  0.749937  0.773513 i
 33.7678  0.766607  0.775823 i
 33.7678  0.783278  0.778146 i
 33.7678  0.799949  0.780483 i
 33.7678  0.81662  0.782832 i
 33.7678  0.833291  0.785194 i
 33.7678  0.849962  0.787568 i
 33.7678  0.866632  0.789953 i
 33.7678  0.883303  0.79235 i
 33.7678  0.899974  0.794757 i
 33.7678  0.916645  0.797174 i
 33.7678  0.933316  0.7996 i
 33.7678  0.949986  0.802033 i
 33.7678  0.966657  0.804473 i
 33.7678  0.983328  0.806918 i
 33.7678  0.999999  0.809368 i

# IsoCurve 9, 50 points
# x y z type
 32.9689  0.183129  0.700271 i
 32.9689  0.199799  0.702338 i
 32.9689  0.21647  0.704404 i
 32.9689  0.233141  0.70647 i
 32.9689  0.249812  0.708536 i
 32.9689  0.266483  0.710603 i
 32.9689  0.283153  0.712672 i
 32.9689  0.299824  0.714742 i
 32.9689  0.316495  0.716816 i
 32.9689  0.333166  0.718893 i
 32.9689  0.349837  0.720974 i
 32.9689  0.366508  0.723059 i
 32.9689  0.383178  0.72515 i
 32.9689  0.399849  0.727247 i
 32.9689  0.41652  0.72935 i
 32.9689  0.433191  0.73146 i
 32.9689  0.449862  0.733577 i
 32.9689  0.466533  0.735702 i
 32.9689  0.483203  0.737836 i
 32.9689  0.499874  0.739978 i
 32.9689  0.516545  0.74213 i
 32.9689  0.533216  0.744291 i
 32.9689  0.549887  0.746463 i
 32.9689  0.566557  0.748645 i
 32.9689  0.583228  0.750839 i
 32.9689  0.599899  0.753043 i
 32.9689  0.61657  0.755258 i
 32.9689  0.633241  0.757486 i
 32.9689  0.649912  0.759724 i
 32.9689  0.666582  0.761975 i
 32.9689  0.683253  0.764237 i
 32.9689  0.699924  0.76651 i
 32.9689  0.716595  0.768796 i
 32.9689  0.733266  0.771093 i
 32.9689  0.749937  0.773402 i
 32.9689  0.766607  0.775723 i
 32.9689  0.783278  0.778055 i
 32.9689  0.799949  0.780398 i
 32.9689  0.81662  0.782753 i
 32.9689  0.833291  0.785118 i
 32.9689  0.849962  0.787495 i
 32.9689  0.866632  0.789882 i
 32.9689  0.883303  0.792278 i
 32.9689  0.899974  0.794684 i
 32.9689  0.916645  0.797099 i
 32.9689  0.933316  0.799522 i
 32.9689  0.949986  0.801951 i
 32.9689  0.966657  0.804386 i
 32.9689  0.983328  0.806826 i
 32.9689  0.999999  0.809269 i

# IsoCurve 10, 50 points
# x y z type
 32.1699  0.183129  0.69875 i
 32.1699  0.199799  0.70087 i
 32.1699  0.21647  0.702989 i
 32.1699  0.233141  0.705109 i
 32.1699  0.249812  0.707228 i
 32.1699  0.266483  0.709349 i
 32.1699  0.283153  0.71147 i
 32.1699  0.299824  0.713594 i
 32.1699  0.316495  0.71572 i
 32.1699  0.333166  0.717848 i
 32.1699  0.349837  0.71998 i
 32.1699  0.366508  0.722116 i
 32.1699  0.383178  0.724256 i
 32.1699  0.399849  0.7264 i
 32.1699  0.41652  0.728551 i
 32.1699  0.433191  0.730707 i
 32.1699  0.449862  0.732869 i
 32.1699  0.466533  0.735039 i
 32.1699  0.483203  0.737216 i
 32.1699  0.499874  0.739402 i
 32.1699  0.516545  0.741597 i
 32.1699  0.533216  0.7438 i
 32.1699  0.549887  0.746012 i
 32.1699  0.566557  0.748233 i
 32.1699  0.583228  0.750463 i
 32.1699  0.599899  0.752702 i
 32.1699  0.61657  0.754951 i
 32.1699  0.633241  0.757209 i
